locs,techs,resource_cap
CNOR,Hydrodam_PP_ex,inf
CNOR,Hydroror_PP_ex,inf
CNOR,PV_PP_ex,inf
CNOR,PV_roof_ex,inf
CNOR,Wind_PP_ex,inf
CSUD,Hydrodam_PP_ex,inf
CSUD,Hydroror_PP_ex,inf
CSUD,PHS_PP_ex,inf
CSUD,PV_PP_ex,inf
CSUD,PV_roof_ex,inf
CSUD,Wind_PP_ex,inf
NORD,Hydrodam_PP_ex,inf
NORD,Hydroror_PP_ex,inf
NORD,PHS_PP_ex,inf
NORD,PV_PP_ex,inf
NORD,PV_roof_ex,inf
NORD,Wind_PP_ex,inf
SARD,Hydrodam_PP_ex,inf
SARD,Hydroror_PP_ex,inf
SARD,PHS_PP_ex,inf
SARD,PV_PP_ex,inf
SARD,PV_roof_ex,inf
SARD,Wind_PP_ex,inf
SARD,Wind_off_PP_1,inf
SARD,Wind_off_PP_2,inf
SICI,Hydrodam_PP_ex,inf
SICI,Hydroror_PP_ex,inf
SICI,PHS_PP_ex,inf
SICI,PV_PP_ex,inf
SICI,PV_roof_ex,inf
SICI,Wind_PP_ex,inf
SICI,Wind_off_PP_4,inf
SUD,Hydrodam_PP_ex,inf
SUD,Hydroror_PP_ex,inf
SUD,PV_PP_ex,inf
SUD,PV_roof_ex,inf
SUD,Wind_PP_ex,inf
SUD,Wind_off_PP_3,inf
SUD,Wind_off_PP_5,inf
