costs,locs,techs,cost
monetary,CNOR,Bio_PP_ex,104327581.95645641
monetary,CNOR,CCGT_PP_ex,453020096.02293676
monetary,CNOR,Coal_PP_ex,91467064.87418015
monetary,CNOR,Geo_PP_ex,554566726.2309103
monetary,CNOR,Geo_PP_new,805018885.939162
monetary,CNOR,Hydrodam_PP_ex,193623312.4862109
monetary,CNOR,Hydroror_PP_ex,106634504.00412798
monetary,CNOR,Hydroror_PP_new,0.0
monetary,CNOR,Oil_PP_ex,472290959.5349757
monetary,CNOR,PHS_PP_new,103363057.98898864
monetary,CNOR,PV_PP_ex,135992105.98164257
monetary,CNOR,PV_PP_new,0.0
monetary,CNOR,PV_roof_ex,286810476.0933757
monetary,CNOR,PV_roof_new,0.0
monetary,CNOR,Trans:CSUD,3929447.885192723
monetary,CNOR,Trans:NORD,2167834.8514947346
monetary,CNOR,Trans:SARD,1080128.9296980577
monetary,CNOR,WTE_PP_ex,-62207157.63438483
monetary,CNOR,Wind_PP_ex,32630701.911527503
monetary,CNOR,Wind_off_PP_new,0.0
monetary,CNOR,Wind_on_PP_new,0.0
monetary,CSUD,Bio_PP_ex,184579568.0768075
monetary,CSUD,CCGT_PP_ex,2312707251.2575293
monetary,CSUD,Hydrodam_PP_ex,137987246.74650222
monetary,CSUD,Hydroror_PP_ex,168551312.78071842
monetary,CSUD,Hydroror_PP_new,0.0
monetary,CSUD,Oil_PP_ex,196777322.29423386
monetary,CSUD,PHS_PP_ex,402822115.98590255
monetary,CSUD,PHS_PP_new,120857372.63704473
monetary,CSUD,PV_PP_ex,138473282.54603395
monetary,CSUD,PV_PP_new,477480247.3026985
monetary,CSUD,PV_roof_ex,417178874.3176373
monetary,CSUD,PV_roof_new,0.0
monetary,CSUD,Trans:CNOR,2496450.128486075
monetary,CSUD,Trans:SARD,7922050.233515217
monetary,CSUD,Trans:SUD,33093520.280260287
monetary,CSUD,USC_PP_ex,447190011.89242154
monetary,CSUD,WTE_PP_ex,-346196355.530458
monetary,CSUD,Wind_PP_ex,455257262.8138415
monetary,CSUD,Wind_off_PP_new,0.0
monetary,CSUD,Wind_on_PP_new,0.0
monetary,NORD,Bio_PP_ex,1063972384.4061283
monetary,NORD,CCGT_PP_ex,9046621617.30242
monetary,NORD,Hydrodam_PP_ex,1804373198.1309934
monetary,NORD,Hydroror_PP_ex,1317452097.8574522
monetary,NORD,Hydroror_PP_new,1011307876.6843104
monetary,NORD,Oil_PP_ex,197632807.9340678
monetary,NORD,PHS_PP_ex,1213498629.002148
monetary,NORD,PHS_PP_new,361441229.97452927
monetary,NORD,PV_PP_ex,856005914.7150307
monetary,NORD,PV_PP_new,1056204947.4096042
monetary,NORD,PV_roof_ex,1152108991.2405417
monetary,NORD,PV_roof_new,0.0
monetary,NORD,Trans:CNOR,5121145.7569496725
monetary,NORD,WTE_PP_ex,-819511685.357201
monetary,NORD,Wind_PP_ex,39117528.195144415
monetary,NORD,Wind_off_PP_new,0.0
monetary,NORD,Wind_on_PP_new,0.0
monetary,SARD,Bio_PP_ex,47728812.79789301
monetary,SARD,CCGT_PP_ex,284309179.2594826
monetary,SARD,Coal_PP_ex,639243929.7768661
monetary,SARD,Hydrodam_PP_ex,45097075.31324407
monetary,SARD,Hydroror_PP_ex,13759290.839242319
monetary,SARD,Hydroror_PP_new,0.0
monetary,SARD,Oil_PP_ex,262369763.05897847
monetary,SARD,PHS_PP_ex,56792886.07296782
monetary,SARD,PHS_PP_new,0.0
monetary,SARD,PV_PP_ex,48087564.843204625
monetary,SARD,PV_PP_new,0.0
monetary,SARD,PV_roof_ex,127587205.72881074
monetary,SARD,PV_roof_new,0.0
monetary,SARD,Trans:CNOR,89931.57511710272
monetary,SARD,Trans:CSUD,70927.50423592534
monetary,SARD,WTE_PP_ex,-10818636.110326812
monetary,SARD,Wind_PP_ex,215244690.32001576
monetary,SARD,Wind_off_PP_new,0.0
monetary,SARD,Wind_on_PP_new,51778214.40601659
monetary,SICI,Bio_PP_ex,31256036.699505158
monetary,SICI,CCGT_PP_ex,1102637315.440837
monetary,SICI,Hydrodam_PP_ex,3921484.8098473097
monetary,SICI,Hydroror_PP_ex,44717695.227537535
monetary,SICI,Hydroror_PP_new,0.0
monetary,SICI,Oil_PP_ex,308374185.2452468
monetary,SICI,PHS_PP_ex,137549015.21469843
monetary,SICI,PHS_PP_new,0.0
monetary,SICI,PV_PP_ex,74553448.19671282
monetary,SICI,PV_PP_new,220926842.37822872
monetary,SICI,PV_roof_ex,195726421.86735818
monetary,SICI,PV_roof_new,0.0
monetary,SICI,Trans:SUD,1491029.6287483156
monetary,SICI,Wind_PP_ex,417908869.05968356
monetary,SICI,Wind_off_PP_new,0.0
monetary,SICI,Wind_on_PP_new,4117497.0533597637
monetary,SUD,Bio_PP_ex,278347678.17532295
monetary,SUD,CCGT_PP_ex,1074182413.979216
monetary,SUD,Coal_PP_ex,1843830738.785177
monetary,SUD,Hydrodam_PP_ex,168378754.02281886
monetary,SUD,Hydroror_PP_ex,89435390.45507507
monetary,SUD,Hydroror_PP_new,0.0
monetary,SUD,Oil_PP_ex,572403366.4070047
monetary,SUD,PHS_PP_new,0.0
monetary,SUD,PV_PP_ex,131147904.1178308
monetary,SUD,PV_PP_new,0.0
monetary,SUD,PV_roof_ex,548590219.7276931
monetary,SUD,PV_roof_new,0.0
monetary,SUD,Trans:CSUD,388910.3049618435
monetary,SUD,Trans:SICI,718697.1333239493
monetary,SUD,WTE_PP_ex,-89253747.9102079
monetary,SUD,Wind_PP_ex,1189841196.8100963
monetary,SUD,Wind_off_PP_new,0.0
monetary,SUD,Wind_on_PP_new,55831704.7539722
co2,CNOR,Bio_PP_ex,0.0
co2,CNOR,CCGT_PP_ex,1472905596.7049186
co2,CNOR,Coal_PP_ex,0.0
co2,CNOR,Geo_PP_ex,0.0
co2,CNOR,Geo_PP_new,0.0
co2,CNOR,Hydrodam_PP_ex,0.0
co2,CNOR,Hydroror_PP_ex,0.0
co2,CNOR,Hydroror_PP_new,0.0
co2,CNOR,Oil_PP_ex,270245.1765483748
co2,CNOR,PHS_PP_new,0.0
co2,CNOR,PV_PP_ex,0.0
co2,CNOR,PV_PP_new,0.0
co2,CNOR,PV_roof_ex,0.0
co2,CNOR,PV_roof_new,0.0
co2,CNOR,Trans:CSUD,0.0
co2,CNOR,Trans:NORD,0.0
co2,CNOR,Trans:SARD,0.0
co2,CNOR,WTE_PP_ex,111821400.00000001
co2,CNOR,Wind_PP_ex,0.0
co2,CNOR,Wind_off_PP_new,0.0
co2,CNOR,Wind_on_PP_new,0.0
co2,CSUD,Bio_PP_ex,0.0
co2,CSUD,CCGT_PP_ex,8613555239.502127
co2,CSUD,Hydrodam_PP_ex,0.0
co2,CSUD,Hydroror_PP_ex,0.0
co2,CSUD,Hydroror_PP_new,0.0
co2,CSUD,Oil_PP_ex,0.0
co2,CSUD,PHS_PP_ex,0.0
co2,CSUD,PHS_PP_new,0.0
co2,CSUD,PV_PP_ex,0.0
co2,CSUD,PV_PP_new,0.0
co2,CSUD,PV_roof_ex,0.0
co2,CSUD,PV_roof_new,0.0
co2,CSUD,Trans:CNOR,0.0
co2,CSUD,Trans:SARD,0.0
co2,CSUD,Trans:SUD,0.0
co2,CSUD,USC_PP_ex,0.0
co2,CSUD,WTE_PP_ex,622310400.0
co2,CSUD,Wind_PP_ex,0.0
co2,CSUD,Wind_off_PP_new,0.0
co2,CSUD,Wind_on_PP_new,0.0
co2,NORD,Bio_PP_ex,0.0
co2,NORD,CCGT_PP_ex,38677652286.51425
co2,NORD,Hydrodam_PP_ex,0.0
co2,NORD,Hydroror_PP_ex,0.0
co2,NORD,Hydroror_PP_new,0.0
co2,NORD,Oil_PP_ex,9107011.949809495
co2,NORD,PHS_PP_ex,0.0
co2,NORD,PHS_PP_new,0.0
co2,NORD,PV_PP_ex,0.0
co2,NORD,PV_PP_new,0.0
co2,NORD,PV_roof_ex,0.0
co2,NORD,PV_roof_new,0.0
co2,NORD,Trans:CNOR,0.0
co2,NORD,WTE_PP_ex,1473125400.0000002
co2,NORD,Wind_PP_ex,0.0
co2,NORD,Wind_off_PP_new,0.0
co2,NORD,Wind_on_PP_new,0.0
co2,SARD,Bio_PP_ex,0.0
co2,SARD,CCGT_PP_ex,36031881.79890906
co2,SARD,Coal_PP_ex,0.0
co2,SARD,Hydrodam_PP_ex,0.0
co2,SARD,Hydroror_PP_ex,0.0
co2,SARD,Hydroror_PP_new,0.0
co2,SARD,Oil_PP_ex,0.0
co2,SARD,PHS_PP_ex,0.0
co2,SARD,PHS_PP_new,0.0
co2,SARD,PV_PP_ex,0.0
co2,SARD,PV_PP_new,0.0
co2,SARD,PV_roof_ex,0.0
co2,SARD,PV_roof_new,0.0
co2,SARD,Trans:CNOR,0.0
co2,SARD,Trans:CSUD,0.0
co2,SARD,WTE_PP_ex,19447200.0
co2,SARD,Wind_PP_ex,0.0
co2,SARD,Wind_off_PP_new,0.0
co2,SARD,Wind_on_PP_new,0.0
co2,SICI,Bio_PP_ex,0.0
co2,SICI,CCGT_PP_ex,4258497014.7354064
co2,SICI,Hydrodam_PP_ex,0.0
co2,SICI,Hydroror_PP_ex,0.0
co2,SICI,Hydroror_PP_new,0.0
co2,SICI,Oil_PP_ex,955040.3340442708
co2,SICI,PHS_PP_ex,0.0
co2,SICI,PHS_PP_new,0.0
co2,SICI,PV_PP_ex,0.0
co2,SICI,PV_PP_new,0.0
co2,SICI,PV_roof_ex,0.0
co2,SICI,PV_roof_new,0.0
co2,SICI,Trans:SUD,0.0
co2,SICI,Wind_PP_ex,0.0
co2,SICI,Wind_off_PP_new,0.0
co2,SICI,Wind_on_PP_new,0.0
co2,SUD,Bio_PP_ex,0.0
co2,SUD,CCGT_PP_ex,343881883.28397906
co2,SUD,Coal_PP_ex,0.0
co2,SUD,Hydrodam_PP_ex,0.0
co2,SUD,Hydroror_PP_ex,0.0
co2,SUD,Hydroror_PP_new,0.0
co2,SUD,Oil_PP_ex,0.0
co2,SUD,PHS_PP_new,0.0
co2,SUD,PV_PP_ex,0.0
co2,SUD,PV_PP_new,0.0
co2,SUD,PV_roof_ex,0.0
co2,SUD,PV_roof_new,0.0
co2,SUD,Trans:CSUD,0.0
co2,SUD,Trans:SICI,0.0
co2,SUD,WTE_PP_ex,160439400.0
co2,SUD,Wind_PP_ex,0.0
co2,SUD,Wind_off_PP_new,0.0
co2,SUD,Wind_on_PP_new,0.0
